AB~a	126EC	126A2	
AB₂	126F0	126A9	
|AB₂×2(N14)|	12C57	126AA	
ABGAL	126F2	126AC	
AMA~a	12709	126C3	
AMAR	1270D	126CA	
AMAR~v1	1270C	126C9	
AN	12711	126CD	
AN~v1	12710	F2710	
ARARMA₂~a	1271B	126D7	
BAHAR₂~a	12729	126E5	
BAHAR₂~b	1272B	126E7	
BALA~b	1272F	126EB	
BALAG	12731	126ED	
BAN~a	12734	126F0	
BAN~a~v1	12733	126EF	
BARA₂~a	12743	126FF	
BARA₂~b	12745	12701	
BIR₃~a	1274B	12707	
BIR₃~b	1274D	12709	
BU~a	12750	12713	
|BU~a+DU₆~a|	12C66	1270D	
|(BU~a&BU~a).NA₂~a|	12C61	12711	
DARA₃~c	12769	12732	
|DARA₃~d×KAR₂~b|	12C6E	12734	
|DARA₃~d1×KAR₂~b|	12C6D	12735	
DIB	12777	12744	
DILMUN	1277A	12747	
DILMUN~v1	12779	12746	
DU	12780	1274D	
DU₆~a	12783	12751	
DU₈~b	12789	12758	
DU₈~c@g	1278C	1275E	
DUB~b	12792	12764	
DUB~b~v1	1278F	12761	
DUB~b~v2	12790	12762	
DUB~b~v3	12791	12763	
DUG~a	1279A	12776	
DUG~a@t	FFFF8	12774	
DUG~a~v1	12799	12775	
DUG~a~v2	1279A	12776	
DUG~b	1279C	127AD	
|DUG~b×DIN|	12C8D	127AF	
|DUG~b×GEŠTU~a~v2|	12C93	12781	
|DUG~b×HI|	12C99	127B1	
|DUG~b×MAŠ|	12CA3	127B3	
|DUG~b×ŠE~a|	12CAA	127B4	
|DUG~b×U₂~b|	12CB9	127BA	
|DUG~b×X|	12CBD	127B7	
|DUG~b×1(N57)|	12C84	127B8	
|DUG~b~v1×ŠE~a|	12CAA	127B4	
|DUG~b~v1×U₂~b|	12CB8	127B6	
DUG~c~v1	1279D	127BC	
|DUG~c~v1×1(N57)|	12CC5	127BD	
|DUG~c~v2×1(N57)|	12CC4	127BE	
DUG~c2@t	FFFFB	127C1	
EN~a	127B4	127D9	
EN~a~v1	127B2	127D7	
EN~a~v2	127B3	127D8	
EN~b	127B6	127DC	
EN~c	127B9	127DF	
ENKUM	127C1	127E9	
EZEN~a	127CD	12801	
|EZEN~a×LA~e|	12CD6	127F8	
|EZEN~b×6(N57)|	12CDF	12804	
GA~a	127D9	1280F	
GA~a~v1	127D6	1280B	
|GA~a~v1.ZATU753|	12CE2	1280C	
GA~a~v2	127D7	1280D	
GA~a~v3	127D8	1280E	
GAN~a	127EE	12853	
GAN~b	127F2	12857	
GAN~b~v1	127F0	12855	
GAN~b~v2	127F1	12856	
GAN~c	127F4	12860	
GEŠTU~a	12803	12873	
GEŠTU~a~v1	12802	12872	
GEŠTU~c3	12806	12876	
GI	12809	12884	
GI₆	1280E	1288F	
GIR~b	12816	12896	
GIŠGAL	1282A	128B3	
GIŠIMMAR~b1	12830	128B9	
GIŠIMMAR~b1~v1	1282F	128B8	
GU₄	12836	128C1	
GU₇	12839	128C3	
GUG₂	1283F	128CA	
GUM~b	12848	128D7	
GUM~b@n	1284A	128D6	
GURUŠ~a	1284F	128DD	
|HI.SUHUR|	12D54	128E9	
|HI.SUHUR~v1|	12D53	128E8	
IDIGNA	1285F	128F8	
IN~b	1286A	12901	
IR₁₁	12871	12909	
IŠ~a	12874	1290C	
IŠ~b	1287A	12912	
IŠ~b~v1	12876	1290E	
IŠ~b~v2	12877	1290F	
IŠ~b~v3	12878	12910	
IŠ~b~v4	12879	12911	
|KA~a~v1.ŠE~a|	12D59	12916	
KAL~b1	1288A	12927	
KAŠ~a	12896	12935	
KAŠ~b	12898	12938	
KINGAL	128AE	1294C	
KISIM~b	128BE	12958	
KISIM~b~v1	128BC	12956	
KISIM~b~v2	128BD	12957	
KIŠ	128B7	1295B	
KITI	128C1	1295F	
KUR~c	128D0	12972	
LAM~b	128F5	129B2	
LAM~b~v1	128F4	129B1	
LI	128FB	129B4	
LU₂	128FF	129B9	
LU₂~v1	128FE	129B8	
LUGAL	12902	129BB	
MA	12905	129C0	
MAR~a	1290C	129DA	
MEN~a	12916	129E6	
MES	12919	129E9	
MUD	1291E	129EE	
MUŠ₃~a	12931	12A03	
MUŠ₃~a@g	12933	12A01	
MUŠ₃~a~v1	12930	12A02	
NA₂~a	1293B	12A10	
NAB	12940	12A15	
NAB~v1	1293F	12A14	
NAGAR~a	12946	12A1C	
NAGAR~a~v1	12944	12A1A	
NAGAR~a~v2	12945	12A1B	
NAGAR~b	12948	12A1E	
NAMEŠDA	12951	12A28	
NANNA~a	12953	12A2A	
NE~a	1295A	12A31	
NE~a~v1	12959	12A30	
NESAG₂~a	1295F	12A36	
NESAG₂~b	12962	12A39	
NIMGIR	1296E	12A48	
NINDA₂	12971	12A67	
|NINDA₂×GUDU₄|~v2	12DC1	F2DC1	
|NINDA₂×GUDU₄|~v3	12DC2	F2DC2	
|NINDA₂×(HI~a1.AN.ME~a)|	12DC0	12A59	
|NINDA₂×(UDU~a×TAR~b)|	12DCF	12A60	
NUN~c	12981	12A7F	
NUN~c~v1	1297F	12A7D	
NUN~c~v2	12980	12A7E	
NUNUZ~c	1298C	12A8A	
NUNUZ~c~v1	1298A	12A88	
NUNUZ~c~v2	1298B	12A89	
PA~a	1298F	12A8D	
PA~a~v1	1298E	12A8C	
PAP~b	12997	12A94	
RU	129A8	12AA5	
SA~c	129AC	12AA8	
SAG	129AF	12AB2	
|SAG@n×GEŠTU~b|	12DDE	12AAD	
SAG~v1	129AE	12AAE	
SANGA~a	129B6	12ABC	
SANGA~a~v1	129B5	12ABB	
SANGA~b	129B8	12ABE	
SI	12A14	12AC7	
SI₄~d	12A19	12ACC	
SI₄~f	12A1B	12ACE	
SIG@g	12A1D	12AD0	
SIG₂~a3	12A22	12AD5	
SIG₂~a3~v1	12A21	12AD4	
SIG₂~d2	12A29	12ADE	
SIG₇	12A2F	12AE4	
|SILA₃~a×DUG~a|~v1	12E10	12AE8	
SIMUG	12A3A	12B19	
SU~a	12A3D	12B1D	
SUKUD@g~b	12A4A	12B2D	
SUM~a	12A4E	12B32	
ŠA	129BF	12B3C	
ŠA~v1	129BE	12B3B	
ŠAB~a	129C7	12B43	
ŠAB~b	129C9	12B45	
ŠAGAN	129CB	12B47	
ŠE~a	129D6	12B52	
|ŠE~a.NAM₂|	12DED	12B55	
ŠE₃	129DB	12B5C	
ŠE₃@t	129DD	12B5D	
ŠEN~a	129E1	12B61	
ŠEN~b	129E3	12B63	
ŠEN~d	129E8	12B69	
ŠEN~d~v1	129E7	12B68	
ŠEŠ~a	129ED	12B6E	
ŠIM~a	129F3	12B74	
ŠIM~a~v1	129F2	12B73	
