o0900013	AB~a	AB~a~v1
o0900042	AB2	AB₂~v1
o0900044	|AB2x2(N14)|	|AB₂~v2×2(N14)|
o0900048	ABGAL	ABGAL~v1
o0900078	AMA~a	AMA~a~v1
o0900083	AMAR	AMAR~v1
o0900084	AMAR	AMAR~v2
o0900090	AN	AN~v1
o0900091	AN	AN~v2
o0900107	ARARMA2~a	ARARMA₂~a~v1
o0900125	BAHAR2~a	BAHAR₂~a~v1
o0900127	BAHAR2~b	BAHAR₂~b~v1
o0900132	BALA~b	BALA~b~v1
o0900134	BALAG	BALAG~v1
o0900137	BAN~a	BAN~a~v1
o0900138	BAN~a	BAN~a~v2
o0900159	BARA2~a	BARA₂~a~v1
o0900161	BARA2~b	BARA₂~b~v1
o0900170	BIR3~a	BIR₃~a~v1
o0900172	BIR3~b	BIR₃~b~v1
o0900176	BU~a	BU~a~v1
o0900192	|(BU~a&BU~a).NA2~a|	|(BU~a&BU~a).NA₂~a~v1|
o0900200	|BU~a+DU6~a|	|BU~a+DU₆~a~v1|
o0900238	DARA3~c	DARA₃~c~v1
o0900242	|DARA3~dxKAR2|	|DARA₃~d1×KAR₂~b|
o0900244	|DARA3~dxKAR2|	|DARA₃~d2×KAR₂~a1|
o0900263	DIB	DIB~v1
o0900265	DILMUN	DILMUN~v1
o0900266	DILMUN	DILMUN~v2
o0900279	DU	DU
o0900285	DU6~a	DU₆~a~v1
o0900295	DU8~b	DU₈~b~v1
o0900310	DU8~c@g	DU₈~c@g~v1
o0900314	DUB~b	DUB~b~v1
o0900315	DUB~b	DUB~b~v2
o0900316	DUB~b	DUB~b~v3
o0900317	DUB~b	DUB~b~v4
o0900332	DUG~a	DUG~a~v1
o0900333	DUG~a	DUG~a~v2
o0900335	DUG~b	DUG~b~v1
o0900337	DUG~c	DUG~c~v3
o0900352	|DUG~bxDIN|	|DUG~b~v1×DIN|
o0900362	|DUG~bxGESZTU~a|	|DUG~b~v1×GEŠTU~a~v2|
o0900371	|DUG~bxHI|	|DUG~b~v1×HI|
o0900392	|DUG~bxMASZ|	|DUG~b~v1×MAŠ|
o0900396	|DUG~bx1(N57)|	|DUG~b~v1×1(N57)|
o0900398	|DUG~cx1(N57)|	|DUG~c~v2×1(N57)|
o0900399	|DUG~cx1(N57)|	|DUG~c~v3×1(N57)|
o0900434	|DUG~bxSZE~a|	|DUG~b~v1×ŠE~a|
o0900435	|DUG~bxSZE~a|	|DUG~b~v1×ŠE~a@t|
o0900450		|DUG~b×U₂~b|
o0900452	|DUG~bxU2~b|	|DUG~b~v2×U₂~b|
o0900462	|DUG~bxX|	|DUG~b~v1×X|
o0900478		DUG~a@t
o0900480		DUG~c2@t
o0900514	EN~a	EN~a~v1
o0900515	EN~a	EN~a~v2
o0900516	EN~a	EN~a~v3
o0900518	EN~b	EN~b~v1
o0900520	EN~c	EN~c~v1
o0900536	ENKUM	ENKUM~v1
o0900551	EZEN~a	EZEN~a~v1
o0900568	|EZEN~axLA~e|	|EZEN~a×LA~e|~v1
o0900600	GA~a	GA~a~v1
o0900601	GA~a	GA~a~v2
o0900602	GA~a	GA~a~v3
o0900603	GA~a	GA~a~v4
o0900608	|GA~a.ZATU753|	|GA~a~v4.ZATU753|~v1
o0900737	GAN~a	GAN~a~v1
o0900739	GAN~b	GAN~b~v1
o0900740	GAN~b	GAN~b~v2
o0900741	GAN~b	GAN~b~v3
o0900743	GAN~c	GAN~c~v1
o0900798	GESZTU~a	GEŠTU~a~v1
o0900799	GESZTU~a	GEŠTU~a~v2
o0900802	GESZTU~c3	GEŠTU~c3~v1
o0900807	GI	GI~v1
o0900837	GI6	GI₆~v1
o0900847	GIR~b	GIR~b~v1
o0900894	GISZGAL	GIŠGAL~v1
o0900900	GISZIMMAR~b1	GIŠIMMAR~b1~v1
o0900901	GISZIMMAR~b1	GIŠIMMAR~b1~v2
o0900909	GU4	GU₄~v1
o0900913	GU7	GU₇~v1
o0900921	GUG2	GUG₂~v1
o0900939	GUM~b	GUM~b~v1
o0900942	GUM~b@n	GUM~b@n~v1
o0900949	GURUSZ~a	GURUŠ~a~v1
o0900963	|HI.SUHUR|	|HI.SUHUR~v1|
o0900964	|HI.SUHUR|	|HI.SUHUR~v2|
o0900989	IDIGNA	IDIGNA~v1
o0901006	IN~b	IN~b~v1
o0901017	IR11	IR₁₁~v1
o0901021	ISZ~a	IŠ~a~v1
o0901023	ISZ~b	IŠ~b~v1
o0901024	ISZ~b	IŠ~b~v2
o0901025	ISZ~b	IŠ~b~v3
o0901026	ISZ~b	IŠ~b~v4
o0901027	ISZ~b	IŠ~b~v5
o0901032	|KA~a.SZE~a|	|KA~a~v2.ŠE~a@t|
o0901059	KAL~b1	KAL~b1~v1
o0901079	KASZ~a	KAŠ~a~v1
o0901081	KASZ~b	KAŠ~b~v1
o0901110	KINGAL	KINGAL~v1
o0901124	KISIM~b	KISIM~b~v1
o0901125	KISIM~b	KISIM~b~v2
o0901126	KISIM~b	KISIM~b~v3
o0901129	KISZ	KIŠ~v1
o0901134	KITI	KITI~v1
o0901161	KUR~c	KUR~c~v1
o0901285	LAM~b	LAM~b~v1
o0901286	LAM~b	LAM~b~v2
o0901302	LI	LI~v1
o0901305	LU2	LU₂~v1
o0901306	LU2	LU₂~v2
