EASL0011	12698	12698 126A2
EASL0025	126A7	126A7 126A9
EASL0026	126A8	126A8 126AA
EASL0027	126AB	126AB 126AC
EASL0049	126C1	126C1 126C3
EASL0052	126C5	126C5 126C9 126CA
EASL0057	126CC	126CC 126CD
EASL0067	126D6	126D6 126D7
EASL0081	126E4	126E4 126E5
EASL0082	126E6	126E6 126E7
EASL0085	126EA	126EA 126EB
EASL0086	126EC	126EC 126ED
EASL0087	126EE	126EE 126EF 126F0
EASL0101	126FE	126FE 126FF
EASL0102	12700	12700 12701
EASL0108	12706	12706 12707
EASL0109	12708	12708 12709
EASL0111	1270B	1270B 12713
EASL0112	1270C	1270C 1270D
EASL0115	12710	12710 12711
EASL0146	1272F	1272F 12732
EASL0163	12743	12743 12744
EASL0164	12745	12745 12746 12747
EASL0174	12750	12750 12751
EASL0180	12757	12757 12758
EASL0185	1275D	1275D 1275E
EASL0187	12760	12760 12761 12762 12763 12764
EASL0196	1276D	1276D 12775 12776
EASL0205	12777	12777 127AD
EASL0210	1277C	1277C 127AF
EASL0215	12781	12781 127B0
EASL0219	12785	12785 127B1
EASL0227	1278D	1278D 127B3
EASL0239	12799	12799 127B4
EASL0246	127A0	127A0 127B6 127BA
EASL0249	127A3	127A3 127B7
EASL0256	127AA	127AA 127B8
EASL0262	127BC	127BC 127BF
EASL0263	127BD	127BD 127BE 127C0
EASL0287	127D6	127D6 127D7 127D8 127D9
EASL0288	127DA	127DA 127DC
EASL0290	127DD	127DD 127DF
EASL0300	127E8	127E8 127E9
EASL0309	12B5B	12B5B 12B5D
EASL0313	127F3	127F3 12801
EASL0336	1280A	1280A 1280B 1280D 1280E 1280F
EASL0337	1280C	1280C 12810
EASL0406	12852	12852 12853
EASL0407	12854	12854 12855 12856 12857
EASL0408	12858	12858 12860
EASL0436	12871	12871 12872 12873
EASL0439	12875	12875 12876
EASL0441	12878	12878 12884
EASL0462	1288E	1288E 1288F
EASL0470	12895	12895 12896
EASL0501	128B2	128B2 128B3
EASL0505	128B7	128B7 128B8 128B9
EASL0510	128BE	128BE 128C1
EASL0513	128C2	128C2 128C3
EASL0518	128C8	128C8 128CA
EASL0530	128D4	128D4 128D7
