pc25u	pc25c	ap24u	ap24c	pc25pcsl	ap24pcsl	pc25uname	ap24uname	oid
12690	𒚐	12690	𒚐	A	A	A	A	o0900000
12691	𒚑	12692	𒚒	|A×EN~a|	|A×EN~a~v2|	A TIMES EN-A	A TIMES EN-A VARIANT 2	o0900004
12692	𒚒	12693	𒚓	|A×ŠUBUR|	|A×ŠUBUR|	A TIMES SHUBUR	A TIMES SHUBUR	o0900006
12693	𒚓	12694	𒚔	|A×ZATU672|	|A×ZATU672|	A TIMES ZATU672	A TIMES ZATU672	o0900007
12694	𒚔	12695	𒚕	|A×1(N14)|	|A×1(N14)|	A TIMES ONE-N14	A TIMES ONE-N14	o0900005
12695	𒚕	12697	𒚗	A₂	A₂	A2	A2	o0900010
12696	𒚖	12698	𒚘	AB~a	AB~a	AB-A	AB-A	o0900012
12697	𒚗	12699	𒚙	|AB~a×A@t|	|AB~a×A@t|	AB-A TIMES A TENU	AB-A TIMES A TENU	o0900018
12698	𒚘	1269A	𒚚	|AB~a×AŠ₂|	|AB~a×AŠ₂|	AB-A TIMES ASH2	AB-A TIMES ASH2	o0900020
12699	𒚙	1269D	𒚝	|AB~a×(ŠE~a&ŠE~a)|	|AB~a×(ŠE~a&ŠE~a)|	AB-A TIMES SHE-A OVER SHE-A	AB-A TIMES SHE-A OVER SHE-A	o0900033
1269A	𒚚	1269F	𒚟	|AB~a×ZATU659|	|AB~a×ZATU659|	AB-A TIMES ZATU659	AB-A TIMES ZATU659	o0900038
1269B	𒚛	F302B	󳀫	|AB~a×1(N04)|		AB-A TIMES ONE-N4		o0900027
1269C	𒚜	126A1	𒚡	AB~a@g	AB~a@g	AB-A GUNU	AB-A GUNU	o0900040
1269D	𒚝	126A3	𒚣	AB~b	AB~b	AB-B	AB-B	o0900014
1269E	𒚞	126A7	𒚧	AB₂	AB₂	AB2	AB2	o0900041
1269F	𒚟	126A8	𒚨	|AB₂×2(N14)|	|AB₂×2(N14)|	AB2 TIMES TWO-N14	AB2 TIMES TWO-N14	o0900043
126A0	𒚠	126AB	𒚫	ABGAL	ABGAL	ABGAL	ABGAL	o0900047
126A1	𒚡	126AD	𒚭	ABRIG	ABRIG	ABRIG	ABRIG	o0900049
126A2	𒚢	126AE	𒚮	ABZU	ABZU	ABZU	ABZU	o0900050
126A3	𒚣	126AF	𒚯	AD~a	AD~a	AD-A	AD-A	o0900053
126A4	𒚤	126B0	𒚰	AD~b	AD~b	AD-B	AD-B	o0900054
126A5	𒚥	126B1	𒚱	AD~c	AD~c	AD-C	AD-C	o0900055
126A6	𒚦	126B2	𒚲	ADAB	ADAB	ADAB	ADAB	o0900056
126A7	𒚧	126B3	𒚳	ADDA	ADDA	ADDA	ADDA	o0900058
126A8	𒚨	126B5	𒚵	AGAR₂	AGAR₂	AGAR2	AGAR2	o0900060
126A9	𒚩	126B6	𒚶	AK~a	AK~a	AK-A	AK-A	o0900062
126AA	𒚪	126B7	𒚷	AK~b	AK~b	AK-B	AK-B	o0900063
126AB	𒚫	126B8	𒚸	AL	AL	AL	AL	o0900064
126AC	𒚬	126B9	𒚹	ALAN~a	ALAN~a	ALAN-A	ALAN-A	o0900066
126AD	𒚭	126BA	𒚺	ALAN~b	ALAN~b	ALAN-B	ALAN-B	o0900067
126AE	𒚮	126BB	𒚻	ALAN~c	ALAN~c	ALAN-C	ALAN-C	o0900068
126AF	𒚯	126BD	𒚽	ALAN~e	ALAN~e	ALAN-E	ALAN-E	o0900070
126B0	𒚰	126BE	𒚾	ALIM	ALIM	ALIM	ALIM	o0900072
126B1	𒚱	126BF	𒚿	AM~a	AM~a	AM-A	AM-A	o0900074
126B2	𒚲	126C0	𒛀	AM~b	AM~b	AM-B	AM-B	o0900075
126B3	𒚳	126C1	𒛁	AMA~a	AMA~a	AMA-A	AMA-A	o0900077
126B4	𒚴	126C2	𒛂	|AMA~a×E₂~a|	|AMA~a×E₂~a|	AMA-A TIMES E2-A	AMA-A TIMES E2-A	o0900081
126B5	𒚵	126C4	𒛄	AMA~b	AMA~b	AMA-B	AMA-B	o0900079
126B6	𒚶	126C5	𒛅	AMAR	AMAR	AMAR	AMAR	o0900082
126B7	𒚷	126C7	𒛇	|AMAR&AMAR|	|AMAR&AMAR|	AMAR OVER AMAR	AMAR OVER AMAR	o0900087
126B8	𒚸	126CB	𒛋	|AMAR×TAR~c|	|AMAR~v2×TAR~c|	AMAR TIMES TAR-C	AMAR VARIANT 2 TIMES TAR-C	o0900086
126B9	𒚹	126C8	𒛈	AMAR@g	AMAR@g	AMAR GUNU	AMAR GUNU	o0900088
126BA	𒚺	126CC	𒛌	AN	AN	AN	AN	o0900089
126BB	𒚻	126CE	𒛎	ANŠE~a	ANŠE~a	ANSHE-A	ANSHE-A	o0900093
126BC	𒚼	126CF	𒛏	ANŠE~b	ANŠE~b	ANSHE-B	ANSHE-B	o0900094
126BD	𒚽	126D0	𒛐	ANŠE~c	ANŠE~c	ANSHE-C	ANSHE-C	o0900095
126BE	𒚾	126D1	𒛑	ANŠE~e	ANŠE~e	ANSHE-E	ANSHE-E	o0900096
126BF	𒚿	F3068	󳁨	ANŠE~f		ANSHE-F		o0900097
126C0	𒛀	126D2	𒛒	APIN~a	APIN~a	APIN-A	APIN-A	o0900100
126C1	𒛁	126D4	𒛔	APIN~b	APIN~b	APIN-B	APIN-B	o0900101
126C2	𒛂	126D5	𒛕	APIN~c	APIN~c	APIN-C	APIN-C	o0900102
126C3	𒛃	126D6	𒛖	ARARMA₂~a	ARARMA₂~a	ARARMA2-A	ARARMA2-A	o0900106
126C4	𒛄	126D8	𒛘	ARARMA₂~b	ARARMA₂~b	ARARMA2-B	ARARMA2-B	o0900108
126C5	𒛅	126D9	𒛙	ARATTA	ARATTA	ARATTA	ARATTA	o0900109
126C6	𒛆	126DA	𒛚	ASAR	ASAR	ASAR	ASAR	o0900111
126C7	𒛇	126DC	𒛜	AZ	AZ	AZ	AZ	o0900113
126C8	𒛈	126DD	𒛝	AZU	AZU	AZU	AZU	o0900114
126C9	𒛉	126DE	𒛞	BA	BA	BA	BA	o0900115
126CA	𒛊	126DF	𒛟	BAD	BAD	BAD	BAD	o0900116
126CB	𒛋	126E0	𒛠	|BAD&BAD|	|BAD&BAD|	BAD OVER BAD	BAD OVER BAD	o0900117
