EALX036	o0903282	|(1(N58).BAD)~a|
EALX070	o0900242	|DARA₃~d1×KAR₂~b|
EALX081	o0900279	DU
EALX082	o0900286	DU₆~a~v2
EALX096	o0900398	|DUG~c~v2×1(N57)|
EALX122	o0900416	|DUG~b×(SA~a.GI)|
EALX131	o0900436	|DUG×(ŠE.NAM₂)|
EALX153	o0901605	|NUN+EN|
EALX211	o0900807	GI~v1
EALX362	o0901400	MUD₃@g
EALX370	o0901421	MUŠ₃~a~v2
EALX420	o0901619	NUNUZ~c~v1
EALX432	o0901661	RAD@g
EALX509	o0901946	ŠE~a
EALX511	o0901956	|ŠE~a.NAM₂~v1|
EALX535	o0902038	ŠU₂
EALX572	o0902222	U₈~v2
EALX575	o0902235	UD₅~a~v1
EALX586	o0902299	UNUG@s
EALX666	o0902713	|ZATU759×KU₆|
