AMAR~v1	1270C	126C9	
AN~v1	12710	F2710	
BAN~a~v1	12733	126EF	
|DARA₃~d1×KAR₂~b|	12C6D	12735	
|DARA₃~d2×KAR₂~a1|	12C6F	12736	
DILMUN~v1	12779	12746	
DU	12780	1274D	
DUB~b~v1	1278F	12761	
DUB~b~v2	12790	12762	
DUB~b~v3	12791	12763	
DUG~a	1279A	12776	
DUG~a@t	FFFF8	12774	
DUG~a~v1	12799	12775	
DUG~a~v2	1279A	12776	
|DUG~b×U₂~b|	12CB9	127BA	
|DUG~b~v1×GEŠTU~a~v2|	12C94	127B0	
|DUG~b~v1×ŠE~a@t|	12CAB	127B5	
|DUG~b~v2×U₂~b|	12CB9	127BA	
|DUG~c~v2×1(N57)|	12CC4	127BE	
DUG~c~v3	1279E	127BF	
|DUG~c~v3×1(N57)|	12CC6	127C0	
DUG~c2@t	FFFFB	127C1	
EN~a~v1	127B2	127D7	
EN~a~v2	127B3	127D8	
GA~a~v1	127D6	1280B	
GA~a~v2	127D7	1280D	
GA~a~v3	127D8	1280E	
|GA~a~v4.ZATU753|~v1	12CE3	12810	
GAN~b~v1	127F0	12855	
GAN~b~v2	127F1	12856	
GEŠTU~a~v1	12802	12872	
GIŠIMMAR~b1~v1	1282F	128B8	
|HI.SUHUR~v1|	12D53	128E8	
IŠ~b~v1	12876	1290E	
IŠ~b~v2	12877	1290F	
IŠ~b~v3	12878	12910	
IŠ~b~v4	12879	12911	
|KA~a~v2.ŠE~a@t|	12D58	12917	
KISIM~b~v1	128BC	12956	
KISIM~b~v2	128BD	12957	
LAM~b~v1	128F4	129B1	
LU₂~v1	128FE	129B8	
MUŠ₃~a~v1	12930	12A02	
NAB~v1	1293F	12A14	
NAGAR~a~v1	12944	12A1A	
NAGAR~a~v2	12945	12A1B	
NE~a~v1	12959	12A30	
NESAG₂~a1	12960	F2960	
|NINDA₂×GUDU₄|~v3	12DC2	F2DC2	
|NINDA₂×(HI~a1.AN.ME~a)|	12DC0	12A59	
|NINDA₂×(HI~a1.ME~a)|	12DBF	12A5A	
|NINDA₂×(UDU~a×TAR~b)|	12DCF	12A60	
NUN~c~v1	1297F	12A7D	
NUN~c~v2	12980	12A7E	
NUNUZ~c~v1	1298A	12A88	
NUNUZ~c~v2	1298B	12A89	
PA~a~v1	1298E	12A8C	
SAG~v1	129AE	12AAE	
|SAG~v2×GEŠTU~b|	12DDF	12AB3	
SANGA~a~v1	129B5	12ABB	
SIG@g	12A1D	12AD0	
SIG₂~a3~v1	12A21	12AD4	
|SILA₃~a~v1×DUG~a|	12E0F	12B09	
ŠA~v1	129BE	12B3B	
ŠE~a	129D6	12B52	
ŠEN~d~v1	129E7	12B68	
ŠIM~a~v1	129F2	12B73	
ŠIR~b~v1	129F8	12B79	
ŠITA~b3@g	12A01	12B8A	
|ŠU₂~a.AN|	12DFD	12B92	
|ŠU₂~a.EN~a~v2|	12E01	12B94	
ŠU₂~b	12A08	12B98	
TUR~v1	12A82	12BD5	
TUR~v2	12A83	12BD6	
U₂~b~v1	12A8C	12BDE	
U₈~v1	12A92	12C18	
U₈~v2	12A93	12C19	
UD₅~a~v1	12A9A	12C21	
URUDU~a~v1	12AD7	12C74	
UZ~a	FFFFA	12C8E	
ZATU623~v1	12B02	12CA2	
ZATU651~v1	12B2E	12CD7	
ZATU662~v1	12B33	12CE0	
|ZATU662~v1×1(N14)|	12EA4	12CE1	
ZATU662~v2	12B34	12CE2	
ZATU693~v1	12B62	12D12	
ZATU697~a~v1	12B6E	12D1D	
ZATU697~a~v2	12B6F	12D1E	
ZATU735~b~v1	12B9D	12D51	
ZATU737~v1	12BA3	12D64	
ZATU749~a~v1	12BA6	12D6D	
ZATU750~v1	12BAB	12D72	
ZATU750~v2	12BAC	12D73	
ZATU762~a~v1	12BBF	12D8C	
ZATU777~v1	12BD2	12DA0	
|1(N58)~a.BAD~a|	12C2C	12E0F	
9(N19)~v	126D4	F0094	12613.1
