oX	pcsl	cdli
o0900000	A	A
o0900001	|A×AB₂|	|AxAB2|
o0900002	|A×AN|	|AxAN|
o0900004	|A×EN~a~v2|	|AxEN~a|
o0900006	|A×ŠUBUR|	|AxSZUBUR|
o0900007	|A×ZATU672|	|AxZATU672|
o0900005	|A×1(N14)|	|Ax1(N14)|
o0900008	A@g	A@g
o0900009	A@t	A@t
o0900010	A₂	A2
o0900012	AB~a	AB~a
o0900018	|AB~a×A@t|	|AB~axA@t|
o0900020	|AB~a×AŠ₂|	|AB~axASZ2|
o0900022	|AB~a×KU₆~a|	|AB~axKU6~a|
o0900029	|AB~a×SUKKAL|	|AB~axSUKKAL|
o0900033	|AB~a×(ŠE~a&ŠE~a)|	|AB~ax(SZE~a&SZE~a)|
o0900035	|AB~a×X|	|AB~axX|
o0900038	|AB~a×ZATU659|	|AB~axZATU659|
o0900025	|AB~a×1(N01)|	|AB~ax1(N01)|
o0900040	AB~a@g	AB~a@g
o0900013	AB~a~v1	AB~a
o0900014	AB~b	AB~b
o0900016	|AB~b×A|	|AB~bxA|
o0900023	|AB~b×KU₆~a|	|AB~bxKU6~a|
o0900031	|AB~b×ŠA₃~a1|	|AB~bxSZA3~a1|
o0900041	AB₂	AB2
o0900043	|AB₂×2(N14)|	|AB2x2(N14)|
o0900042	AB₂~v1	AB2
o0900044	|AB₂~v2×2(N14)|	|AB2x2(N14)|
o0900047	ABGAL	ABGAL
o0900048	ABGAL~v1	ABGAL
o0900049	ABRIG	ABRIG
o0900050	ABZU	ABZU
o0900053	AD~a	AD~a
o0900054	AD~b	AD~b
o0900055	AD~c	AD~c
o0900056	ADAB	ADAB
o0900058	ADDA	ADDA
o0900059	ADDA@t	ADDA@t-2
o0900060	AGAR₂	AGAR2
o0900062	AK~a	AK~a
o0900063	AK~b	AK~b
o0900064	AL	AL
o0900066	ALAN~a	ALAN~a
o0900067	ALAN~b	ALAN~b
o0900068	ALAN~c	ALAN~c
o0900069	ALAN~d	ALAN~d
o0900070	ALAN~e	ALAN~e
o0900071	ALAN~f	ALAN~f
o0900072	ALIM	ALIM
o0900074	AM~a	AM~a
o0900075	AM~b	AM~b
o0900077	AMA~a	AMA~a
o0900081	|AMA~a×E₂~a|	|AMA~axE2~a|
o0900078	AMA~a~v1	AMA~a
o0900079	AMA~b	AMA~b
o0900082	AMAR	AMAR
o0900085	|AMAR.1(N02)|	|AMAR.1(N02)|
o0900087	|AMAR&AMAR|	|AMAR&AMAR|
o0900088	AMAR@g	AMAR@g
o0900083	AMAR~v1	AMAR
o0900084	AMAR~v2	AMAR
o0900086	|AMAR~v2×TAR~c|	|AMARxTAR|
o0900089	AN	AN
o0900090	AN~v1	AN
o0900091	AN~v2	AN
o0900093	ANŠE~a	ANSZE~a
o0900094	ANŠE~b	ANSZE~b
o0900095	ANŠE~c	ANSZE~c
o0900096	ANŠE~e	ANSZE~e
o0900098	ANZU₂	ANZU2
o0900100	APIN~a	APIN~a
o0900104	|APIN~a.APIN~a|	|APIN~a.APIN~a|
o0900101	APIN~b	APIN~b
o0900102	APIN~c	APIN~c
o0900106	ARARMA₂~a	ARARMA2~a
o0900107	ARARMA₂~a~v1	ARARMA2~a
o0900108	ARARMA₂~b	ARARMA2~b
o0900109	ARATTA	ARATTA
o0900110	ASAL₂	ASAL2
o0900111	ASAR	ASAR
o0900112	AŠ₂	ASZ2
o0900113	AZ	AZ
o0900114	AZU	AZU
o0900115	BA	BA
o0900116	BAD	BAD
o0900117	|BAD&BAD|	|BAD&BAD|
o0900119	BAD₃~a	BAD3~a
o0900121	BAD₃~b1	BAD3~b1
o0900122	BAD₃~b2	BAD3~b2
o0900124	BAHAR₂~a	BAHAR2~a
o0900125	BAHAR₂~a~v1	BAHAR2~a
o0900126	BAHAR₂~b	BAHAR2~b
o0900127	BAHAR₂~b~v1	BAHAR2~b
o0900128	BAHAR₂~c	BAHAR2~c
o0900130	BALA~a	BALA~a
o0900131	BALA~b	BALA~b
o0900132	BALA~b~v1	BALA~b
o0900133	BALAG	BALAG
o0900134	BALAG~v1	BALAG
o0900136	BAN~a	BAN~a
o0900137	BAN~a~v1	BAN~a
o0900138	BAN~a~v2	BAN~a
o0900139	BAN~b	BAN~b
o0900141	BANŠUR~a	BANSZUR~a
o0900146	BANŠUR~a@t	BANSZUR~a@t
o0900142	BANŠUR~b1	BANSZUR~b1
o0900143	BANŠUR~b2	BANSZUR~b2
o0900144	BANŠUR~c	BANSZUR~c
o0900148	BAPPIR~a	BAPPIR~a
o0900149	BAPPIR~b	BAPPIR~b
o0900150	BAPPIR~c	BAPPIR~c
o0900151	BAPPIR~d	BAPPIR~d
o0900152	BAPPIR~e	BAPPIR~e
o0900153	BAPPIR~f	BAPPIR~f
o0900154	BAR	BAR
o0900158	BARA₂~a	BARA2~a
o0900159	BARA₂~a~v1	BARA2~a
o0900160	BARA₂~b	BARA2~b
o0900161	BARA₂~b~v1	BARA2~b
o0900162	BARA₃	BARA3
o0900163	BAU405	UET2_405
o0900165	BIR~a	BIR~a
o0900166	BIR~b	BIR~b
o0900167	BIR~c	BIR~c
o0900169	BIR₃~a	BIR3~a
o0900170	BIR₃~a~v1	BIR3~a
o0900171	BIR₃~b	BIR3~b
o0900172	BIR₃~b~v1	BIR3~b
o0900173	BIR₃~c	BIR3~c
o0900175	BU~a	BU~a
o0900199	|BU~a+DU₆~a|	|BU~a+DU6~a|
o0900200	|BU~a+DU₆~a~v1|	|BU~a+DU6~a|
o0900185	|BU~a×GIŠ@t|	|BU~axGISZ@t|
o0900187	|BU~a×1(N58)|	|BU~ax1(N58)|
o0900191	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA2~a|
o0900192	|(BU~a&BU~a).NA₂~a~v1|	|(BU~a&BU~a).NA2~a|
o0900193	|(BU~a&BU~a).NA₂~b|	|(BU~a&BU~a).NA2~b|
o0900197	|(BU~a&BU~a).X|	|(BU~a&BU~a).X|
o0900176	BU~a~v1	BU~a
o0900183	|BU~a~v1×A|	|BU~axA|
o0903398	|(BU~a~v1%BU~a~v1).NA₂~a@n|	|(BU~a&BU~a).NA2~a@n|
o0900177	BU~b	BU~b
o0900181	|BU~b.NA₂~a~v1|	|BU~b.NA2~a|
o0900205	BU₃	BU3
o0900206	BULUG	BULUG
o0900207	BULUG₃	BULUG3
o0900211	BUR~a	BUR~a
o0900212	BUR~b	BUR~b
o0900213	BUR~c	BUR~c
o0900214	BUR~d	BUR~d
o0900215	BUR₂	BUR2
o0900217	DA~a	DA~a
