o0900012	AB~a	𒚘𒚢
o0900041	AB₂	𒚧𒚩
o0900043	|AB₂×2(N14)|	𒚨𒚪
o0900047	ABGAL	𒚫𒚬
o0900077	AMA~a	𒛁𒛃
o0900082	AMAR	𒛅𒛉𒛊
o0900089	AN	𒛌𒛍
o0900106	ARARMA₂~a	𒛖𒛗
o0900124	BAHAR₂~a	𒛤𒛥
o0900126	BAHAR₂~b	𒛦𒛧
o0900131	BALA~b	𒛪𒛫
o0900133	BALAG	𒛬𒛭
o0900136	BAN~a	𒛮𒛯𒛰
o0900158	BARA₂~a	𒛾𒛿
o0900160	BARA₂~b	𒜀𒜁
o0900169	BIR₃~a	𒜆𒜇
o0900171	BIR₃~b	𒜈𒜉
o0900199	|BU~a+DU₆~a|	𒜌𒜍
o0900191	|(BU~a&BU~a).NA₂~a|	𒜐𒜑
o0900175	BU~a	𒜋𒜓
o0900237	DARA₃~c	𒜯𒜲
o0900262	DIB	𒝃𒝄
o0900264	DILMUN	𒝅𒝆𒝇
o0900284	DU₆~a	𒝐𒝑
o0900294	DU₈~b	𒝗𒝘
o0900309	DU₈~c@g	𒝝𒝞
o0900313	DUB~b	𒝠𒝡𒝢𒝣𒝤
o0900331	DUG~a	𒝭𒝵𒝶
o0900361	|DUG~b×GEŠTU~a|	𒞁𒞰
o0900334	DUG~b	𒝷𒞭
o0900351	|DUG~b×DIN|	𒝼𒞯
o0900370	|DUG~b×HI|	𒞅𒞱
o0900391	|DUG~b×MAŠ|	𒞍𒞳
o0900433	|DUG~b×ŠE~a|	𒞙𒞴
o0900450	|DUG~b×U₂~b|	𒞠𒞶𒞺
o0900461	|DUG~b×X|	𒞣𒞷
o0900395	|DUG~b×1(N57)|	𒞪𒞸
o0900336	DUG~c	𒞼𒞿
o0900397	|DUG~c×1(N57)|	𒞽𒞾𒟀
o0900513	EN~a	𒟖𒟗𒟘𒟙
o0900517	EN~b	𒟚𒟜
o0900519	EN~c	𒟝𒟟
o0900535	ENKUM	𒟨𒟩
o0900550	EZEN~a	𒟳𒠁
o0900599	GA~a	𒠊𒠋𒠍𒠎𒠏
o0900607	|GA~a.ZATU753|	𒠌𒠐
o0900736	GAN~a	𒡒𒡓
o0900738	GAN~b	𒡔𒡕𒡖𒡗
o0900742	GAN~c	𒡘𒡠
o0900797	GEŠTU~a	𒡱𒡲𒡳
o0900801	GEŠTU~c3	𒡵𒡶
o0900806	GI	𒡸𒢄
o0900836	GI₆	𒢎𒢏
o0900846	GIR~b	𒢕𒢖
o0900893	GIŠGAL	𒢲𒢳
o0900899	GIŠIMMAR~b1	𒢷𒢸𒢹
o0900908	GU₄	𒢾𒣁
o0900912	GU₇	𒣂𒣃
o0900920	GUG₂	𒣈𒣊
o0900941	GUM~b@n	𒣕𒣖
o0900938	GUM~b	𒣔𒣗
o0900948	GURUŠ~a	𒣛𒣝
o0900962	|HI.SUHUR|	𒣧𒣨𒣩
o0900988	IDIGNA	𒣷𒣸
o0901005	IN~b	𒤀𒤁
o0901016	IR₁₁	𒤈𒤉
o0901020	IŠ~a	𒤋𒤌
o0901022	IŠ~b	𒤍𒤎𒤏𒤐𒤑𒤒
o0901058	KAL~b1	𒤦𒤧
o0901078	KAŠ~a	𒤴𒤵
o0901080	KAŠ~b	𒤶𒤸
o0901109	KINGAL	𒥋𒥌
o0901123	KISIM~b	𒥕𒥖𒥗𒥘
o0901128	KIŠ	𒥚𒥛
o0901133	KITI	𒥞𒥟
o0901160	KUR~c	𒥱𒥲
o0901284	LAM~b	𒦭𒦱𒦲
o0901301	LI	𒦳𒦴
o0901304	LU₂	𒦶𒦸𒦹
o0901310	LUGAL	𒦺𒦻
o0901313	MA	𒦽𒧀
o0901361	MAR~a	𒧘𒧚
o0901384	MEN~a	𒧥𒧦
o0901387	MES	𒧨𒧩
o0901393	MUD	𒧭𒧮
o0901424	MUŠ₃~a@g	𒨀𒨁
o0901419	MUŠ₃~a	𒧿𒨂𒨃
o0901442	NA₂~a	𒨏𒨐
o0901448	NAB	𒨓𒨔𒨕
o0901457	NAGAR~a	𒨙𒨚𒨛𒨜
o0901461	NAGAR~b	𒨝𒨞
o0901472	NAMEŠDA	𒨧𒨨
o0901475	NANNA~a	𒨩𒨪
o0901483	NE~a	𒨯𒨰𒨱
o0901496	NESAG₂~b	𒨷𒨹
o0901521	NIMGIR	𒩇𒩈
o0901525	NINDA₂	𒩊𒩧
o0901594	NUN~c	𒩼𒩽𒩾𒩿
o0901618	NUNUZ~c	𒪇𒪈𒪉𒪊
o0901625	PA~a	𒪋𒪌𒪍
o0901640	PAP~b	𒪓𒪔
o0901670	RU	𒪣𒪥
o0901675	SA~c	𒪧𒪨
o0901677	SAG	𒪩𒪮𒪲
o0901709	SANGA~a	𒪺𒪻𒪼
o0901712	SANGA~b	𒪽𒪾
o0901724	SI	𒫄𒫇
o0901742	SI₄~d	𒫋𒫌
o0901744	SI₄~f	𒫍𒫎
o0901753	SIG₂~a3	𒫓𒫔𒫕
o0901761	SIG₂~d2	𒫝𒫞
o0901771	SIG₇	𒫣𒫤
o0901786	|SILA₃~a×DUG~a|	𒫨𒬉
o0901866	SIMUG	𒬘𒬙
o0901870	SU~a	𒬛𒬝
o0901896	SUKUD@g~b	𒬬𒬭
o0901902	SUM~a	𒬰𒬲
o0901910	ŠA	𒬷𒬻𒬼
o0901926	ŠAB~a	𒭂𒭃
o0901928	ŠAB~b	𒭄𒭅
o0901930	ŠAGAN	𒭆𒭇
o0901955	|ŠE~a.NAM₂|	𒭔𒭕
o0901962	ŠE₃	𒭚𒭜
o0901964	ŠE₃@t	𒭛𒭝
o0901969	ŠEN~a	𒭠𒭡
o0901971	ŠEN~b	𒭢𒭣
o0901974	ŠEN~d	𒭦𒭨𒭩
o0901986	ŠEŠ~a	𒭭𒭮
o0901993	ŠIM~a	𒭲𒭳𒭴
o0901998	ŠIR~a	𒭶𒭷
o0902000	ŠIR~b	𒭸𒭹𒭺
o0902046	|ŠU₂~a.EN~a|	𒮓𒮔
o0902068	ŠURUPPAK~a	𒮢𒮣
o0902070	ŠURUPPAK~b	𒮤𒮥
o0902094	TAK₄~a	𒮴𒮶
o0902103	TI	𒮺𒮾
o0902123	TUG₂~a@g	𒯆𒯇
o0902139	TUR	𒯓𒯕𒯖𒯗
o0902157	U₂~b	𒯝𒯞𒯟
o0902220	U₈	𒰖𒰘𒰙𒰚
o0902230	UBI~c	𒰝𒰞
o0902234	UD₅~a	𒰟𒰡𒰢
o0902261	UKKIN~a	𒰱𒰲
o0902263	UKKIN~b	𒰳𒰼
o0902290	UMUN₂	𒱂𒱃
o0902293	UNUG~a	𒱄𒱆
o0902313	UR₃~a1	𒱒𒱓
o0902332	URI₃~a	𒱟𒱠
o0902373	URUDU~a	𒱳𒱴𒱵
o0902385	UŠ~b	𒱾𒲁
o0902388	|UŠ~b×TAR~c|	𒱿𒲂
o0902401	UTUA~b	𒲈𒲉
o0902422	ZAG~a	𒲓𒲔
o0902438	ZATU623	𒲡𒲢𒲣
o0902445	ZATU625	𒲧𒲨
o0902453	ZATU628~a	𒲭𒲮
o0902456	ZATU629	𒲰𒲱
o0902461	ZATU632~a	𒲴𒲵
o0902470	ZATU636	𒲼𒲽
o0902484	ZATU647	𒳈𒳉
o0902487	ZATU649	𒳋𒳌
o0902490	ZATU651	𒳎𒳗𒳘
o0902511	ZATU662	𒳞𒳠𒳢𒳤
o0902515	|ZATU662×1(N14)|	𒳟𒳡𒳣
o0902529	ZATU675~b	𒳯𒳰
o0902544	ZATU680~b	𒳻𒳼
o0902568	ZATU693	𒴐𒴒𒴓
o0902575	ZATU694~c	𒴖𒴗
o0902584	ZATU697~a	𒴜𒴝𒴞𒴟
o0902605	ZATU710	𒴯𒴰
o0902607	ZATU711	𒴱𒴲
o0902626	ZATU725	𒵂𒵃
o0902634	ZATU729	𒵉𒵊
o0902642	ZATU735~b	𒵐𒵑𒵒
o0902649	ZATU737	𒵖𒵤𒵧
o0902665	|ZATU737×GAR|	𒵝𒵦
o0902658	|ZATU737×DI|	𒵚𒵨
o0902687	ZATU749~a	𒵬𒵭𒵮
o0902692	ZATU750	𒵱𒵲𒵳𒵴
o0902699	ZATU752	𒵷𒵸
o0902706	ZATU756	𒵽𒵾
o0902708	ZATU757	𒵿𒶀
o0902711	ZATU759	𒶂𒶈
o0902722	ZATU762~a	𒶊𒶌𒶍
o0902739	ZATU773~a	𒶘𒶙
o0902744	ZATU776	𒶝𒶞
o0902746	ZATU777	𒶟𒶠𒶡
o0902806	ZATU839	𒷙𒷚
o0902829	ZI~a	𒷫𒷬
o0903220	|1(N57).ŠUBUR|	𒷶𒷷
