AB~a	𒚘𒚢
AB₂	𒚧𒚩
|AB₂×2(N14)|	𒚨𒚪
ABGAL	𒚫𒚬
AMA~a	𒛁𒛃
AMAR	𒛉𒛅 𒛊
AN	𒛌𒛍
ARARMA₂~a	𒛖 𒛗
BAHAR₂~a	𒛤𒛥
BAHAR₂~b	𒛦𒛧
BALA~b	𒛪𒛫
BALAG	𒛬𒛭
BAN~a	𒛮𒛯𒛰
BARA₂~a	𒛾𒛿
BARA₂~b	𒜀𒜁
BIR₃~a	𒜆𒜇
BIR₃~b	𒜈𒜉
|BU~a+DU₆~a|	𒜌𒜍
|(BU~a&BU~a).NA₂~a|	𒜐𒜑
BU~a	𒜓𒜋
DARA₃~c	𒜯𒜲
DIB	𒝄𒝃
DILMUN	𒝅𒝆 𒝇
DU₆~a	𒝐 𒝑
DU₈~b	𒝗𒝘
DU₈~c@g	𒝝𒝞
DUB~b	𒝠𒝡𒝢𒝣𒝤
DUG~a	𒝭𒝵 𒝶
|DUG~b×GEŠTU~a|	𒞁𒞰
DUG~b	𒝷𒞭
|DUG~b×DIN|	𒝼𒞯
|DUG~b×HI|	𒞅𒞱
|DUG~b×MAŠ|	𒞍𒞳
|DUG~b×ŠE~a|	𒞙𒞴
|DUG~b×U₂~b|	𒞠𒞶𒞺
|DUG~b×X|	𒞣𒞷
|DUG~b×1(N57)|	𒞪𒞸
DUG~c	𒞿𒞼
|DUG~c×1(N57)|	𒟀 𒞾𒞽
EN~a	𒟖𒟗𒟘𒟙
EN~b	𒟚𒟜
EN~c	𒟝𒟟
ENKUM	𒟨𒟩
EZEN~a	𒟳 𒠁
GA~a	𒠊𒠋𒠍𒠎𒠏
|GA~a.ZATU753|	𒠌𒠐
GAN~a	𒡒𒡓
GAN~b	𒡔𒡕𒡖𒡗
GAN~c	𒡘𒡠
GEŠTU~a	𒡱𒡲𒡳
GEŠTU~c3	𒡵𒡶
GI	𒡸𒢄
GI₆	𒢎 𒢏
GIR~b	𒢕𒢖
GIŠGAL	𒢲𒢳
GIŠIMMAR~b1	𒢷𒢸𒢹
GU₄	𒢾𒣁
GU₇	𒣂𒣃
GUG₂	𒣈 𒣊
GUM~b@n	𒣕𒣖
GUM~b	𒣔𒣗
GURUŠ~a	𒣛𒣝
|HI.SUHUR|	𒣩𒣧𒣨
IDIGNA	𒣷 𒣸
IN~b	𒤀𒤁
IR₁₁	𒤈𒤉
IŠ~a	𒤋𒤌
IŠ~b	𒤎𒤍𒤏𒤐𒤑𒤒
KAL~b1	𒤦 𒤧
KAŠ~a	𒤴 𒤵
KAŠ~b	𒤶 𒤸
KINGAL	𒥌𒥋
KISIM~b	𒥕𒥖𒥗𒥘
KIŠ	𒥚𒥛
KITI	𒥞𒥟
KUR~c	𒥱𒥲
LAM~b	𒦭𒦱𒦲
LI	𒦳𒦴
LU₂	𒦶𒦸𒦹
LUGAL	𒦻𒦺
MA	𒦽𒧀
MAR~a	𒧘𒧚
MEN~a	𒧥𒧦
MES	𒧨𒧩
MUD	𒧭𒧮
MUŠ₃~a@g	𒨀𒨁
MUŠ₃~a	𒧿𒨂𒨃
NA₂~a	𒨏𒨐
NAB	𒨓𒨔𒨕
NAGAR~a	𒨙𒨚𒨛𒨜
NAGAR~b	𒨝𒨞
NAMEŠDA	𒨧𒨨
NANNA~a	𒨩𒨪
NE~a	𒨰𒨱 𒨯
NESAG₂~b	𒨷𒨹
NIMGIR	𒩇𒩈
NINDA₂	𒩊 𒩧
NUN~c	𒩼𒩽𒩾𒩿
NUNUZ~c	𒪇𒪈𒪉𒪊
PA~a	𒪋𒪌𒪍
PAP~b	𒪓𒪔
RU	𒪣𒪥
