o0900004	|A×EN~a|
o0900086	|AMAR×TAR~c|
o0900183	|BU~a×A|
o0903398	|(BU~a%BU~a).NA₂~a@n|
o0900181	|BU~b.NA₂~a|
o0900290	|DU₆~a×1(N58)|
o0900358	|DUG~b×GA~a|
o0900340	|DUG~b×AB₂|
o0900373	|DUG~b×HI@g~a|
o0900435	|DUG~b×ŠE~a@t|
o0900476	|(DUG~b&DUG~b)×1(N58)|
o0900557	|EZEN~a×EN~b|
o0900568	|EZEN~a×LA~e|
o0900579	|EZEN~a×SAG|
o0900556	|EZEN~a×EN~a|
o0900571	|EZEN~b×6(N57)|
o0900631	|GA₂~a1×EN~b|
o0900652	|GA₂~a1×(HI.SUHUR)|
o0900703	|GA₂~a2×ŠE₃|
o0900646	|GA₂~a2×(ŠE₃.GU₄)|
o0900626	|GA₂~b×DUB~b|
o0900757	|GAN~c×KAŠ~c|
o0900759	|GAN~c×(KUR~a.A)|
o0900775	|GAN~c×ZATU777|
o0900769	|GAN~c×ŠE~a|
o0900771	|GAN~c×ŠE₃@t|
o0900749	|GAN~d×GEŠTU~a|
o0900820	|GI×ŠE₃|
o0900824	|(GI&GI)×ŠE₃|
o0900810	|GI×GIŠ@t|
o0900814	|GI×LAGAB~a|
o0900815	|GI×1(N14)|
o0900826	|GI&GI&GI|
o0900851	|GIR~b.GIR~b|
o0900866	|GIR₃~c×ŠE₃|
o0900923	|GUG₂×SILA₃~a|
o0900926	|GUG₂×TUR|
o0901033	|KA~a.ŠE~a|
o0901032	|KA~a.ŠE~a@t|
o0901043	|KA₂~d×LAM~b|
o0901086	|KAŠ~b×ŠE~a@t|
o0901197	|LAGAB~a×DU₆~a|
o0901234	|LAGAB~a×SI|
o0901237	|LAGAB~a×SIG₇|
o0901273	|LAL₂~a×EZEN~a|
o0901315	|MA×A|
o0901349	|MAH~a×UD₅~a|
o0901367	|MAR~b×(LAGAB~b.ŠE₃)|
o0901504	|NI~a.RU|
o0901606	|NUN~a+EN~a|
o0901607	|NUN~a+EN~b|
o0901684	|SAG×GEŠTU~c|
o0901687	|SAG×MA|
o0901688	|SAG×1(N14)|
o0901683	|SAG×GEŠTU~b|
o0901734	|SI×ŠE₃|
o0901790	|SILA₃~a×GA~a|
o0901794	|SILA₃~a×GEŠTU~a|
o0901816	|SILA₃~a×MA|
o0901838	|SILA₃~a×SUM~a|
o0901852	|SILA₃~a×ZATU629|
o0901856	|SILA₃~a×(ZATU659.TU~c)|
o0902048	|ŠU₂~a.EN~b|
o0902056	|ŠU₂~a.URI₃~a|
o0902166	|U₄.4(N08)|
o0902187	|U₄×3(N01).3(N08)|
o0902298	|UNUG~a×A@t|
o0902347	|URU~a1×AMAR|
o0902495	|ZATU651×EN~a|
o0902501	|ZATU651×ŠE~a|
o0902610	|ZATU711×HI@g~a|
o0902611	|ZATU711×X|
o0902663	|ZATU737×EN~a|
o0902682	|ZATU737×UNUG~a|
o0902664	|ZATU737×EN~b|
o0902683	|ZATU737×X|
o0902671	|ZATU737×SAL|
o0902680	|ZATU737×U₄|
