o0900022	Unattested; AB~b×KU₆ in unpub. Umma P006307 i 5 but not perfectly clear
o0900035	Unattested
o0900025	Unattested
o0900059	Unattested in Uruk; 'ADDA@t?' in UET 2, 196c i 2
o0900307	Unattested
o0900480	Unattested but check L24-XXX
o0900537	Unattested; EN~a KID~a/E₂~a in CDLI-tc
o0900825	Unattested
o0900856	Unattested; GIR₂~a only in CDLI-tc
o0900927	Unattested; GUG₂ only in CDLI-tc
o0901088	Unattested
o0901151	Unattested
o0901506	Unattested
o0901672	Unattested
o0901974	@compoundonly ŠEN~d×A but check CUSAS
o0903420	CDLI name for ŠITA~b2@g in AP23/AP24; @compoundonly in |ŠITA~b2@g×HI@g~a|
o0902750	@compoundonly DUG~b×ZATU779 and DUG~b×(NI~a@g.ZATU799)
o0902760	@compoundonly DUG~b×ZATU789
