	IV/pub	IV/unp	IV/all	III/pub	III/unp	III/all
Uruk/num	140/4568	120/2245	176/6813 	180/10995	117/3595	197/14590
Uruk/idg	775/5734	479/2336	918/8070 	978/17754	609/8036	1083/25790
JN/num	0/0	0/0	0/0 	138/2530	0/0	138/2530
JN/idg	0/0	0/0	0/0 	399/3790	0/0	399/3790
Umma/num	0/0	0/0	0/0 	120/1962	137/3550	165/5512
Umma/idg	0/0	0/0	0/0 	396/2559	499/6796	636/9355
Uqair/num	0/0	0/0	0/0 	50/444	0/0	50/444
Uqair/idg	0/0	0/0	0/0 	226/903	0/0	226/903
Misc/num	31/70	30/160	46/230 	166/5545	55/667	166/6212
Misc/idg	44/70	96/212	115/282 	672/8197	272/1135	739/9332
total	143/4638	125/2405	182/7043 	234/21476 	167/7812	252/29288
total	780/5804	515/2548	948/8352 	1292/33203 	833/15967	1485/49170
