U+12690	A	o0900000	1
U+12691	|A×AB₂|	o0900001	2
U+12692	|A×EN~a~v2|	o0900004	5
U+12693	|A×ŠUBUR|	o0900006	6
U+12694	|A×ZATU672|	o0900007	7
U+12695	|A×1(N14)|	o0900005	8
U+12696	A@t	o0900009	9
U+12697	A₂	o0900010	10
U+12698	AB~a	o0900012	24
U+12699	|AB~a×A@t|	o0900018	26
U+1269A	|AB~a×AŠ₂|	o0900020	27
U+1269B	|AB~a×KU₆~a|	o0900022	28
U+1269C	|AB~a×SUKKAL|	o0900029	29
U+1269D	|AB~a×(ŠE~a&ŠE~a)|	o0900033	30
U+1269F	|AB~a×ZATU659|	o0900038	32
U+126A0	|AB~a×1(N01)|	o0900025	33
U+F302B	|AB~a×1(N04)|	o0900027	34
U+126A1	AB~a@g	o0900040	36
U+126A3	AB~b	o0900014	37
U+126A4	|AB~b×A|	o0900016	38
U+126A5	|AB~b×KU₆~a|	o0900023	39
U+126A6	|AB~b×ŠA₃~a1|	o0900031	40
U+126A7	AB₂	o0900041	43
U+126A8	|AB₂×2(N14)|	o0900043	44
U+126AB	ABGAL	o0900047	50
U+126AD	ABRIG	o0900049	52
U+126AE	ABZU	o0900050	53
U+126AF	AD~a	o0900053	56
U+126B0	AD~b	o0900054	57
U+126B1	AD~c	o0900055	58
U+126B2	ADAB	o0900056	59
U+126B3	ADDA	o0900058	61
U+126B4	ADDA@t	o0900059	62
U+126B5	AGAR₂	o0900060	64
U+126B6	AK~a	o0900062	66
U+126B7	AK~b	o0900063	67
U+126B8	AL	o0900064	68
U+126B9	ALAN~a	o0900066	70
U+126BA	ALAN~b	o0900067	71
U+126BB	ALAN~c	o0900068	72
U+126BC	ALAN~d	o0900069	73
U+126BD	ALAN~e	o0900070	74
U+126BE	ALIM	o0900072	75
U+126BF	AM~a	o0900074	78
U+126C0	AM~b	o0900075	79
U+126C1	AMA~a	o0900077	82
U+126C2	|AMA~a×E₂~a|	o0900081	83
U+126C4	AMA~b	o0900079	85
U+126C5	AMAR	o0900082	86
U+126C7	|AMAR&AMAR|	o0900087	90
U+126CB	|AMAR~v2×TAR~c|	o0900086	93
U+126C8	AMAR@g	o0900088	94
U+126CC	AN	o0900089	95
U+126CE	ANŠE~a	o0900093	99
U+126CF	ANŠE~b	o0900094	100
U+126D0	ANŠE~c	o0900095	101
U+126D1	ANŠE~e	o0900096	103
U+F3068	ANŠE~f	o0900097	104
U+126D2	APIN~a	o0900100	107
U+126D4	APIN~b	o0900101	109
U+126D5	APIN~c	o0900102	110
U+126D6	ARARMA₂~a	o0900106	112
U+126D8	ARARMA₂~b	o0900108	114
U+126D9	ARATTA	o0900109	115
U+126DA	ASAR	o0900111	116
U+126DB	AŠ₂	o0900112	118
U+126DC	AZ	o0900113	120
U+126DD	AZU	o0900114	121
U+126DE	BA	o0900115	122
U+126DF	BAD	o0900116	123
U+126E0	|BAD&BAD|	o0900117	126
U+126E1	BAD₃~a	o0900119	128
U+126E2	BAD₃~b1	o0900121	129
U+126E3	BAD₃~b2	o0900122	130
U+126E4	BAHAR₂~a	o0900124	132
U+126E6	BAHAR₂~b	o0900126	134
U+126E8	BAHAR₂~c	o0900128	136
U+126E9	BALA~a	o0900130	138
U+126EA	BALA~b	o0900131	139
U+126EC	BALAG	o0900133	141
U+126EE	BAN~a	o0900136	144
U+126F1	BAN~b	o0900139	147
U+126F2	BANŠUR~a	o0900141	149
U+126F3	BANŠUR~a@t	o0900146	150
U+126F4	BANŠUR~b1	o0900142	151
U+126F5	BANŠUR~b2	o0900143	152
U+126F6	BANŠUR~c	o0900144	153
U+126F7	BAPPIR~a	o0900148	156
U+126F8	BAPPIR~b	o0900149	157
U+126F9	BAPPIR~c	o0900150	158
U+126FA	BAPPIR~d	o0900151	159
U+126FB	BAPPIR~e	o0900152	160
U+126FC	BAPPIR~f	o0900153	161
U+126FD	BAR	o0900154	162
U+126FE	BARA₂~a	o0900158	168
U+12700	BARA₂~b	o0900160	170
U+12702	BARA₃	o0900162	172
U+12703	BIR~a	o0900165	638
U+12704	BIR~b	o0900166	639
U+12705	BIR~c	o0900167	640
U+12706	BIR₃~a	o0900169	642
U+12708	BIR₃~b	o0900171	644
U+1270A	BIR₃~c	o0900173	646
U+1270B	BU~a	o0900175	663
U+1270C	|BU~a+DU₆~a|	o0900199	669
U+F302D	|BU~a+KI|	o0900202	672
U+F302E	|BU~a+TU~b|	o0900204	673
U+1270E	|BU~a×GIŠ@t|	o0900185	675
U+1270F	|BU~a×1(N58)|	o0900187	676
U+F302C	|BU~a&BU~a|	o0900189	677
U+12714	|BU~a~v1×A|	o0900183	686
U+12716	BU~b	o0900177	689
U+12718	BU₃	o0900205	692
U+12719	BULUG	o0900206	694
U+1271A	BULUG₃	o0900207	695
U+1271B	BUR~a	o0900211	699
U+1271C	BUR~b	o0900212	700
U+1271D	BUR~c	o0900213	701
U+1271E	BUR~d	o0900214	702
U+1271F	BUR₂	o0900215	703
U+12720	DA~a	o0900217	706
U+12722	DA~b	o0900218	708
U+12723	DA~c	o0900219	709
U+12724	DA~d	o0900220	710
U+12725	DAH	o0900224	711
