o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0900047..	s	ABGAL--	ABGAL
o0902858..	n	1(N01)--	1(N01)
o0901109..	s	KINGAL--	KINGAL
o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0900728.o0900729.	s	GAL-GAL~a-	GAL~a
o0902290..	s	UMUN₂--	UMUN₂
o0902858..	n	1(N01)--	1(N01)
o0900728.o0900729.	s	GAL-GAL~a-	GAL~a
o0902290..	s	UMUN₂--	UMUN₂
o0901141.o0901142.	s	KU₃-KU₃~a-	KU₃~a
o0902858..	n	1(N01)--	1(N01)
o0900311.o0900312.	s	DUB-DUB~a-	DUB~a
o0901708.o0901709.	s	SANGA-SANGA~a-	SANGA~a
o0902858..	n	1(N01)--	1(N01)
o0901879..	s	SUG₅--	SUG₅
o0901677..	s	SAG--	SAG
o0902858..	n	1(N01)--	1(N01)
o0902227..	s	UB--	UB
o0901677..	s	SAG--	SAG
o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0900728.o0900729.	s	GAL-GAL~a-	GAL~a
o0902003.o0902004.	s	ŠITA-ŠITA~a1-	ŠITA~a1
o0902858..	n	1(N01)--	1(N01)
o0900047..	s	ABGAL--	ABGAL
o0902858..	n	1(N01)--	1(N01)
o0901515.o0901516.	s	NIM-NIM~a-	NIM~a
o0902858..	n	1(N01)--	1(N01)
o0900728.o0900729.	s	GAL-GAL~a-	GAL~a
o0901859.o0901861.	s	SILA₄-SILA₄~b-	SILA₄~b
o0902858..	n	1(N01)--	1(N01)
o0900728.o0900729.	s	GAL-GAL~a-	GAL~a
o0901925.o0901926.	s	ŠAB-ŠAB~a-	ŠAB~a
o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0901500.o0901502.	s	NI-NI~b-	NI~b
o0902858..	n	1(N01)--	1(N01)
o0901509.o0901510.	c	|NI×X|-|NI~b×X|-	|NI~b×X|
o0902858..	n	1(N01)--	1(N01)
o0901008.o0901009.	s	IR-IR~a-	IR~a
o0902858..	n	1(N01)--	1(N01)
o0900164.o0900165.	s	BIR-BIR~a-	BIR~a
o0902858..	n	1(N01)--	1(N01)
o0900164.o0900167.	s	BIR-BIR~c-	BIR~c
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0902038..	s	ŠU₂--	ŠU₂
o0902858..	n	1(N01)--	1(N01)
o0903210..	n	1(N57)--	1(N57)
o0902858..	n	1(N01)--	1(N01)
o0901379.o0901380.	s	ME-ME~a-	ME~a
o0902858..	n	1(N01)--	1(N01)
o0901379.o0901381.	s	ME-ME~b-	ME~b
o0902858..	n	1(N01)--	1(N01)
o0901585..	s	NU@g--	NU@g
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0900485..	s	DUR₂--	DUR₂
o0902858..	n	1(N01)--	1(N01)
o0900262..	s	DIB--	DIB
o0902858..	n	1(N01)--	1(N01)
o0901218.o0901219.	c	|LAGAB×ME|-|LAGAB~a×ME~a|-	|LAGAB~a×ME~a|
o0902858..	n	1(N01)--	1(N01)
o0901257.o0901258.	c	|LAGAB×ZATU753|-|LAGAB~a×ZATU753|-	|LAGAB~a×ZATU753|
o0902858..	n	1(N01)--	1(N01)
o0902082.o0902086.	s	TAG-TAG~a4-	TAG~a4
o0902858..	n	1(N01)--	1(N01)
o0900708.o0900709.	c	|GA₂×X|-|GA₂~a1×X|-	|GA₂~a1×X|
o0902858..	n	1(N01)--	1(N01)
o0900647.o0900648.	c	|GA₂×HAL|-|GA₂~a1×HAL|-	|GA₂~a1×HAL|
o0902858..	n	1(N01)--	1(N01)
o0900656.o0900657.	c	|GA₂×KU₆|-|GA₂~a1×KU₆~a|-	|GA₂~a1×KU₆~a|
o0902858..	n	1(N01)--	1(N01)
o0900640.o0900641.	c	|GA₂×GIŠ@t|-|GA₂~a1×GIŠ@t|-	|GA₂~a1×GIŠ@t|
o0901887..	s	SUKKAL--	SUKKAL
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0902299.o0902300.	s	UNUG@s-UNUG~a@s-	UNUG~a@s
o0902858..	n	1(N01)--	1(N01)
o0901468..	s	NAM₂--	NAM₂
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0903368..	s	X--	X
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0901954.o0901955.	c	|ŠE.NAM₂|-|ŠE~a.NAM₂|-	|ŠE~a.NAM₂|
o0902858..	n	1(N01)--	1(N01)
o0901624.o0901625.	s	PA-PA~a-	PA~a
o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0900546..	s	EŠDA--	EŠDA
o0902858..	n	1(N01)--	1(N01)
o0901044..	s	KAB--	KAB
o0902858..	n	1(N01)--	1(N01)
o0900261..	s	DI@t--	DI@t
o0902858..	n	1(N01)--	1(N01)
o0900512.o0900517.	s	EN-EN~b-	EN~b
o0902858..	n	1(N01)--	1(N01)
o0901591.o0901592.	s	NUN-NUN~a-	NUN~a
o0902858..	n	1(N01)--	1(N01)
o0900283.o0900288.	s	DU₆-DU₆~c-	DU₆~c
o0902858..	n	1(N01)--	1(N01)
o0902003.o0902004.	s	ŠITA-ŠITA~a1-	ŠITA~a1
o0902858..	n	1(N01)--	1(N01)
o0902003.o0902006.	s	ŠITA-ŠITA~a3-	ŠITA~a3
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0901472..	s	NAMEŠDA--	NAMEŠDA
o0902858..	n	1(N01)--	1(N01)
o0901044..	s	KAB--	KAB
o0901468..	s	NAM₂--	NAM₂
o0902858..	n	1(N01)--	1(N01)
o0901468..	s	NAM₂--	NAM₂
o0901468..	s	NAM₂--	NAM₂
o0902858..	n	1(N01)--	1(N01)
o0901468..	s	NAM₂--	NAM₂
o0902338.o0902339.	s	URU-URU~a1-	URU~a1
o0902858..	n	1(N01)--	1(N01)
o0901468..	s	NAM₂--	NAM₂
o0900260..	s	DI--	DI
o0902858..	n	1(N01)--	1(N01)
o0901468..	s	NAM₂--	NAM₂
o0900545..	s	ERIN--	ERIN
o0902858..	n	1(N01)--	1(N01)
o0901468..	s	NAM₂--	NAM₂
o0901178.o0901179.	s	LA-LA~b-	LA~b
o0902858..	n	1(N01)--	1(N01)
o0900011.o0900012.	s	AB-AB~a-	AB~a
o0902858..	n	1(N01)--	1(N01)
o0902003.o0902004.	s	ŠITA-ŠITA~a1-	ŠITA~a1
o0902858..	n	1(N01)--	1(N01)
o0902102..	s	TE--	TE
o0902858..	n	1(N01)--	1(N01)
o0901109..	s	KINGAL--	KINGAL
o0902858..	n	1(N01)--	1(N01)
o0902260.o0902261.	s	UKKIN-UKKIN~a-	UKKIN~a
o0900796.o0900800.	s	GEŠTU-GEŠTU~b-	GEŠTU~b
o0902858..	n	1(N01)--	1(N01)
o0902260.o0902261.	s	UKKIN-UKKIN~a-	UKKIN~a
o0901591.o0901592.	s	NUN-NUN~a-	NUN~a
o0902858..	n	1(N01)--	1(N01)
o0900598.o0900599.	s	GA-GA~a-	GA~a
o0900728.o0900730.	s	GAL-GAL~b-	GAL~b
o0902858..	n	1(N01)--	1(N01)
o0900598.o0900599.	s	GA-GA~a-	GA~a
o0900796.o0900800.	s	GEŠTU-GEŠTU~b-	GEŠTU~b
o0902858..	n	1(N01)--	1(N01)
o0900598.o0900599.	s	GA-GA~a-	GA~a
o0901591.o0901592.	s	NUN-NUN~a-	NUN~a
o0902858..	n	1(N01)--	1(N01)
o0902290..	s	UMUN₂--	UMUN₂
o0902858..	n	1(N01)--	1(N01)
o0902568..	s	ZATU693--	ZATU693
o0900512.o0900513.	s	EN-EN~a-	EN~a
o0902858..	n	1(N01)--	1(N01)
o0902568..	s	ZATU693--	ZATU693
o0902260.o0902261.	s	UKKIN-UKKIN~a-	UKKIN~a
o0902858..	n	1(N01)--	1(N01)
o0902568..	s	ZATU693--	ZATU693
o0901451.o0901453.	s	NAGA-NAGA~b-	NAGA~b
o0902858..	n	1(N01)--	1(N01)
o0901887..	s	SUKKAL--	SUKKAL
o0902383.o0902384.	s	UŠ-UŠ~a-	UŠ~a
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0901077.o0901080.	s	KAŠ-KAŠ~b-	KAŠ~b
o0902858..	n	1(N01)--	1(N01)
o0901019.o0901020.	s	IŠ-IŠ~a-	IŠ~a
o0902858..	n	1(N01)--	1(N01)
o0901515.o0901516.	s	NIM-NIM~a-	NIM~a
o0902858..	n	1(N01)--	1(N01)
o0901515.o0901516.	s	NIM-NIM~a-	NIM~a
o0902858..	n	1(N01)--	1(N01)
o0900951.o0900952.	c	|GURUŠ×2(N14)|-|GURUŠ~a×2(N14)|-	|GURUŠ~a×2(N14)|
o0902858..	n	1(N01)--	1(N01)
o0902003.o0902004.	s	ŠITA-ŠITA~a1-	ŠITA~a1
o0902858..	n	1(N01)--	1(N01)
o0901112.o0901115.	s	KISAL-KISAL~b1-	KISAL~b1
o0901591.o0901592.	s	NUN-NUN~a-	NUN~a
o0902858..	n	1(N01)--	1(N01)
o0901112.o0901115.	s	KISAL-KISAL~b1-	KISAL~b1
o0900796.o0900800.	s	GEŠTU-GEŠTU~b-	GEŠTU~b
o0902858..	n	1(N01)--	1(N01)
o0900545..	s	ERIN--	ERIN
o0902290..	s	UMUN₂--	UMUN₂
o0902858..	n	1(N01)--	1(N01)
o0900215..	s	BUR₂--	BUR₂
o0902858..	n	1(N01)--	1(N01)
o0900215..	s	BUR₂--	BUR₂
o0901881..	s	SUHUR--	SUHUR
o0902858..	n	1(N01)--	1(N01)
o0901492.o0901493.	s	NESAG₂-NESAG₂~a-	NESAG₂~a
o0902858..	n	1(N01)--	1(N01)
o0902145.o0902146.	s	TUR₃-TUR₃~a-	TUR₃~a
o0902858..	n	1(N01)--	1(N01)
o0900064..	s	AL--	AL
o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0900915.o0900916.	s	GUB₃-GUB₃~a-	GUB₃~a
o0902858..	n	1(N01)--	1(N01)
o0901881..	s	SUHUR--	SUHUR
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0901112.o0901115.	s	KISAL-KISAL~b1-	KISAL~b1
o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0900857.o0900858.	s	GIR₃-GIR₃~a-	GIR₃~a
o0902858..	n	1(N01)--	1(N01)
o0900868.o0900869.	s	GIR₃@g-GIR₃@g~a-	GIR₃@g~a
o0902858..	n	1(N01)--	1(N01)
o0902646.o0902648.	s	ZATU736-ZATU736~b-	ZATU736~b
o0902858..	n	1(N01)--	1(N01)
o0900216.o0900218.	s	DA-DA~b-	DA~b
o0902858..	n	1(N01)--	1(N01)
o0901624.o0901625.	s	PA-PA~a-	PA~a
o0900857.o0900858.	s	GIR₃-GIR₃~a-	GIR₃~a
o0902858..	n	1(N01)--	1(N01)
o0901966..	s	ŠEG₉--	ŠEG₉
o0902858..	n	1(N01)--	1(N01)
o0900806..	s	GI--	GI
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0900043..	c	|AB₂×2(N14)|--	|AB₂×2(N14)|
o0902858..	n	1(N01)--	1(N01)
o0900234.o0900237.	s	DARA₃-DARA₃~c-	DARA₃~c
o0902858..	n	1(N01)--	1(N01)
o0900276..	s	DIN--	DIN
o0902858..	n	1(N01)--	1(N01)
o0900955..	s	GURUŠDA--	GURUŠDA
o0902858..	n	1(N01)--	1(N01)
o0900806..	s	GI--	GI
o0901658.o0901660.	s	RAD-RAD~b-	RAD~b
o0902858..	n	1(N01)--	1(N01)
o0901624.o0901625.	s	PA-PA~a-	PA~a
o0901658.o0901660.	s	RAD-RAD~b-	RAD~b
o0902858..	n	1(N01)--	1(N01)
o0900056..	s	ADAB--	ADAB
o0902858..	n	1(N01)--	1(N01)
o0901579.o0901581.	s	NIR-NIR~b-	NIR~b
o0902858..	n	1(N01)--	1(N01)
o0900174.o0900175.	s	BU-BU~a-	BU~a
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0902061..	s	ŠUM--	ŠUM
o0901624.o0901625.	s	PA-PA~a-	PA~a
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902568..	s	ZATU693--	ZATU693
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0902405.o0902407.	s	UTUL-UTUL~b-	UTUL~b
o0902858..	n	1(N01)--	1(N01)
o0902391.o0902393.	c	|UŠ&UŠ|-|UŠ~b&UŠ~b|-	|UŠ~b&UŠ~b|
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0902858..	n	1(N01)--	1(N01)
o0901954.o0901955.	c	|ŠE.NAM₂|-|ŠE~a.NAM₂|-	|ŠE~a.NAM₂|
o0902858..	n	1(N01)--	1(N01)
o0901638.o0901640.	s	PAP-PAP~b-	PAP~b
o0902858..	n	1(N01)--	1(N01)
o0903281.o0903283.	c	|1(N58).BAD|-|(1(N58).BAD)~b|-	|1(N58).BAD~b|
o0902858..	n	1(N01)--	1(N01)
o0900011.o0900012.	s	AB-AB~a-	AB~a
o0902858..	n	1(N01)--	1(N01)
o0903368..	s	X--	X
o0900041..	s	AB₂--	AB₂
o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0902391.o0902393.	c	|UŠ&UŠ|-|UŠ~b&UŠ~b|-	|UŠ~b&UŠ~b|
o0902858..	n	1(N01)--	1(N01)
o0902102..	s	TE--	TE
o0902858..	n	1(N01)--	1(N01)
o0900598.o0900599.	s	GA-GA~a-	GA~a
o0902858..	n	1(N01)--	1(N01)
o0902858..	n	1(N01)--	1(N01)
o0901515.o0901516.	s	NIM-NIM~a-	NIM~a
o0902858..	n	1(N01)--	1(N01)
o0901515.o0901516.	s	NIM-NIM~a-	NIM~a
o0902858..	n	1(N01)--	1(N01)
